16	3.90747e-06	4.04943e-06	3.92981e-06	3.75378e-06
196	0.000194388	0.00015196	0.000152775	0.000162226
576	0.000835007	0.000829874	0.000831926	0.00083647
1156	0.00327602	0.00316295	0.00322441	0.00305477
1936	0.00760955	0.00747451	0.00741456	0.00746062
2916	0.0181545	0.0168309	0.0168347	0.0171379
2916	0.0203858	0.0197116	0.0197744	0.0196056
5476	0.0592549	0.0565086	0.0569538	0.0563537
7056	0.0955439	0.0903612	0.0900393	0.0908509
8836	0.145683	0.140538	0.140962	0.139588
10816	0.213429	0.203478	0.203517	0.204058
